"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"84","285.59063720703125","285.59063720703125","285.59063720703125","280.7788391113281","280.7788391113281","280.7788391113281","294.8187561035156","294.8187561035156","294.8187561035156"
"85","310.16119384765625","310.16119384765625","310.16119384765625","312.56787109375","312.56787109375","312.56787109375","329.4032287597656","329.4032287597656","329.4032287597656"
"86","311.9285583496094","311.9285583496094","311.9285583496094","302.57318115234375","302.57318115234375","302.57318115234375","343.9901428222656","343.9901428222656","343.9901428222656"
"87","268.3717956542969","268.3717956542969","268.3717956542969","296.30303955078125","296.30303955078125","296.30303955078125","305.15972900390625","305.15972900390625","305.15972900390625"
"88","277.1388854980469","277.1388854980469","277.1388854980469","279.61859130859375","279.61859130859375","279.61859130859375","290.79998779296875","290.79998779296875","290.79998779296875"
"89","282.5792541503906","282.5792541503906","282.5792541503906","287.3932800292969","287.3932800292969","287.3932800292969","308.9763488769531","308.9763488769531","308.9763488769531"
"90","291.5035705566406","291.5035705566406","291.5035705566406","294.7250061035156","294.7250061035156","294.7250061035156","339.97857666015625","339.97857666015625","339.97857666015625"
"91","295.194091796875","295.194091796875","295.194091796875","296.91278076171875","296.91278076171875","296.91278076171875","328.5178527832031","328.5178527832031","328.5178527832031"
"92","292.15277099609375","292.15277099609375","292.15277099609375","287.7736511230469","287.7736511230469","287.7736511230469","312.9008483886719","312.9008483886719","312.9008483886719"
"93","296.96875","296.96875","296.96875","313.7121276855469","313.7121276855469","313.7121276855469","334.6628723144531","334.6628723144531","334.6628723144531"
"94","296.66070556640625","296.66070556640625","296.66070556640625","305.29296875","305.29296875","305.29296875","315.69757080078125","315.69757080078125","315.69757080078125"
"95","293.2019348144531","293.2019348144531","293.2019348144531","286.66015625","286.66015625","286.66015625","324.2447814941406","324.2447814941406","324.2447814941406"
"96","301.99688720703125","301.99688720703125","301.99688720703125","304.4296875","304.4296875","304.4296875","331.75","331.75","331.75"
