"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX"
"205","0.604245640636846","0.604245640636846","0.604245640636846","0.5890826383623957","0.5890826383623957","0.5890826383623957","0.6103108415466262","0.6103108415466262","0.6103108415466262","0.5943896891584534","0.5943896891584534","0.5943896891584534"
"210","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.5928733889310084","0.5928733889310084","0.5928733889310084","0.5852918877937832","0.5852918877937832","0.5852918877937832"
"215","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.5951478392721758","0.5951478392721758","0.5951478392721758","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.5754359363153905","0.5754359363153905","0.5754359363153905"
"220","0.5868081880212282","0.5868081880212282","0.5868081880212282","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.6072782410917361","0.6072782410917361","0.6072782410917361","0.5890826383623957","0.5890826383623957","0.5890826383623957"
"225","0.5966641394996209","0.5966641394996209","0.5966641394996209","0.599696739954511","0.599696739954511","0.599696739954511","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.6004548900682335","0.6004548900682335","0.6004548900682335"
"230","0.5959059893858984","0.5959059893858984","0.5959059893858984","0.6110689916603488","0.6110689916603488","0.6110689916603488","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.5875663381349507","0.5875663381349507","0.5875663381349507"
"235","0.5913570887035633","0.5913570887035633","0.5913570887035633","0.6118271417740713","0.6118271417740713","0.6118271417740713","0.604245640636846","0.604245640636846","0.604245640636846","0.5905989385898408","0.5905989385898408","0.5905989385898408"
"240","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.6072782410917361","0.6072782410917361","0.6072782410917361","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.5989385898407885","0.5989385898407885","0.5989385898407885"
"245","0.5799848369977255","0.5799848369977255","0.5799848369977255","0.5981804397270659","0.5981804397270659","0.5981804397270659","0.6027293404094011","0.6027293404094011","0.6027293404094011","0.6095526914329037","0.6095526914329037","0.6095526914329037"
"250","0.5799848369977255","0.5799848369977255","0.5799848369977255","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.5959059893858984","0.5959059893858984","0.5959059893858984"
"255","0.5830174374526156","0.5830174374526156","0.5830174374526156","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.5936315390447309","0.5936315390447309","0.5936315390447309","0.5981804397270659","0.5981804397270659","0.5981804397270659"
"260","0.5815011372251706","0.5815011372251706","0.5815011372251706","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.6080363912054587","0.6080363912054587","0.6080363912054587"
"265","0.5860500379075056","0.5860500379075056","0.5860500379075056","0.6072782410917361","0.6072782410917361","0.6072782410917361","0.5959059893858984","0.5959059893858984","0.5959059893858984","0.6118271417740713","0.6118271417740713","0.6118271417740713"
"270","0.5815011372251706","0.5815011372251706","0.5815011372251706","0.6027293404094011","0.6027293404094011","0.6027293404094011","0.6057619408642911","0.6057619408642911","0.6057619408642911","0.6095526914329037","0.6095526914329037","0.6095526914329037"
"275","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.6080363912054587","0.6080363912054587","0.6080363912054587","0.6080363912054587","0.6080363912054587","0.6080363912054587","0.621683093252464","0.621683093252464","0.621683093252464"
"280","0.5708870356330553","0.5708870356330553","0.5708870356330553","0.6050037907505686","0.6050037907505686","0.6050037907505686","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.6163760424564063","0.6163760424564063","0.6163760424564063"
"285","0.579226686884003","0.579226686884003","0.579226686884003","0.5951478392721758","0.5951478392721758","0.5951478392721758","0.6148597422289613","0.6148597422289613","0.6148597422289613","0.6156178923426838","0.6156178923426838","0.6156178923426838"
"290","0.5868081880212282","0.5868081880212282","0.5868081880212282","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.6133434420015162","0.6133434420015162","0.6133434420015162"
"295","0.5860500379075056","0.5860500379075056","0.5860500379075056","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.6300227445034117","0.6300227445034117","0.6300227445034117","0.6125852918877938","0.6125852918877938","0.6125852918877938"
"300","0.5640636846095527","0.5640636846095527","0.5640636846095527","0.5837755875663382","0.5837755875663382","0.5837755875663382","0.6118271417740713","0.6118271417740713","0.6118271417740713","0.6125852918877938","0.6125852918877938","0.6125852918877938"
"305","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.5921152388172858","0.5921152388172858","0.5921152388172858","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.6103108415466262","0.6103108415466262","0.6103108415466262"
"310","0.5860500379075056","0.5860500379075056","0.5860500379075056","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.6163760424564063","0.6163760424564063","0.6163760424564063"
"315","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.5921152388172858","0.5921152388172858","0.5921152388172858","0.5989385898407885","0.5989385898407885","0.5989385898407885","0.620166793025019","0.620166793025019","0.620166793025019"
"320","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.599696739954511","0.599696739954511","0.599696739954511","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.6186504927975739","0.6186504927975739","0.6186504927975739"
"325","0.5754359363153905","0.5754359363153905","0.5754359363153905","0.5951478392721758","0.5951478392721758","0.5951478392721758","0.6156178923426838","0.6156178923426838","0.6156178923426838","0.6141015921152388","0.6141015921152388","0.6141015921152388"
"330","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.6194086429112965","0.6194086429112965","0.6194086429112965","0.6148597422289613","0.6148597422289613","0.6148597422289613"
"335","0.574677786201668","0.574677786201668","0.574677786201668","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.621683093252464","0.621683093252464","0.621683093252464","0.6292645943896892","0.6292645943896892","0.6292645943896892"
"340","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.6133434420015162","0.6133434420015162","0.6133434420015162","0.6262319939347991","0.6262319939347991","0.6262319939347991"
"345","0.5731614859742229","0.5731614859742229","0.5731614859742229","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.620166793025019","0.620166793025019","0.620166793025019","0.6209249431387415","0.6209249431387415","0.6209249431387415"
"350","0.5890826383623957","0.5890826383623957","0.5890826383623957","0.6065200909780136","0.6065200909780136","0.6065200909780136","0.6322971948445792","0.6322971948445792","0.6322971948445792","0.621683093252464","0.621683093252464","0.621683093252464"
"355","0.5936315390447309","0.5936315390447309","0.5936315390447309","0.6095526914329037","0.6095526914329037","0.6095526914329037","0.624715693707354","0.624715693707354","0.624715693707354","0.6186504927975739","0.6186504927975739","0.6186504927975739"
"360","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.623199393479909","0.623199393479909","0.623199393479909","0.6224412433661866","0.6224412433661866","0.6224412433661866"
"365","0.5928733889310084","0.5928733889310084","0.5928733889310084","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.620166793025019","0.620166793025019","0.620166793025019","0.6178923426838514","0.6178923426838514","0.6178923426838514"
"370","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.6103108415466262","0.6103108415466262","0.6103108415466262","0.621683093252464","0.621683093252464","0.621683093252464","0.6110689916603488","0.6110689916603488","0.6110689916603488"
"375","0.5868081880212282","0.5868081880212282","0.5868081880212282","0.6125852918877938","0.6125852918877938","0.6125852918877938","0.6148597422289613","0.6148597422289613","0.6148597422289613","0.6186504927975739","0.6186504927975739","0.6186504927975739"
"380","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.6050037907505686","0.6050037907505686","0.6050037907505686","0.6125852918877938","0.6125852918877938","0.6125852918877938","0.620166793025019","0.620166793025019","0.620166793025019"
"385","0.5815011372251706","0.5815011372251706","0.5815011372251706","0.601213040181956","0.601213040181956","0.601213040181956","0.6110689916603488","0.6110689916603488","0.6110689916603488","0.6277482941622441","0.6277482941622441","0.6277482941622441"
"390","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.6141015921152388","0.6141015921152388","0.6141015921152388","0.623199393479909","0.623199393479909","0.623199393479909","0.6194086429112965","0.6194086429112965","0.6194086429112965"
"395","0.601213040181956","0.601213040181956","0.601213040181956","0.6050037907505686","0.6050037907505686","0.6050037907505686","0.6300227445034117","0.6300227445034117","0.6300227445034117","0.6262319939347991","0.6262319939347991","0.6262319939347991"
"400","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.6178923426838514","0.6178923426838514","0.6178923426838514","0.6239575435936315","0.6239575435936315","0.6239575435936315","0.620166793025019","0.620166793025019","0.620166793025019"
"405","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.6178923426838514","0.6178923426838514","0.6178923426838514","0.6057619408642911","0.6057619408642911","0.6057619408642911","0.6171341925701289","0.6171341925701289","0.6171341925701289"
"410","0.599696739954511","0.599696739954511","0.599696739954511","0.6110689916603488","0.6110689916603488","0.6110689916603488","0.6330553449583017","0.6330553449583017","0.6330553449583017","0.623199393479909","0.623199393479909","0.623199393479909"
"415","0.5981804397270659","0.5981804397270659","0.5981804397270659","0.6163760424564063","0.6163760424564063","0.6163760424564063","0.6156178923426838","0.6156178923426838","0.6156178923426838","0.6345716451857468","0.6345716451857468","0.6345716451857468"
