"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"156","331.3387145996094","331.3387145996094","331.3387145996094","296.3125","296.3125","296.3125"
"157","365.8348083496094","365.8348083496094","365.8348083496094","318.8491516113281","318.8491516113281","318.8491516113281"
"158","325.7302551269531","325.7302551269531","325.7302551269531","301.47296142578125","301.47296142578125","301.47296142578125"
"159","317.54327392578125","317.54327392578125","317.54327392578125","300.18359375","300.18359375","300.18359375"
"160","335.9765625","335.9765625","335.9765625","295.5282287597656","295.5282287597656","295.5282287597656"
"161","341.94500732421875","341.94500732421875","341.94500732421875","293.120361328125","293.120361328125","293.120361328125"
"162","361.6767272949219","361.6767272949219","361.6767272949219","317.2250061035156","317.2250061035156","317.2250061035156"
"163","317.6435241699219","317.6435241699219","317.6435241699219","314.2205810546875","314.2205810546875","314.2205810546875"
"164","358.5887145996094","358.5887145996094","358.5887145996094","304.9201354980469","304.9201354980469","304.9201354980469"
"165","343.34765625","343.34765625","343.34765625","293.2742919921875","293.2742919921875","293.2742919921875"
"166","354.4861145019531","354.4861145019531","354.4861145019531","288.9166564941406","288.9166564941406","288.9166564941406"
"167","362.7250061035156","362.7250061035156","362.7250061035156","292.4779357910156","292.4779357910156","292.4779357910156"
"168","311.6052551269531","311.6052551269531","311.6052551269531","264.9375","264.9375","264.9375"
"169","341.08984375","341.08984375","341.08984375","285.65625","285.65625","285.65625"
"170","337.2379150390625","337.2379150390625","337.2379150390625","276.9296875","276.9296875","276.9296875"
"171","339.01251220703125","339.01251220703125","339.01251220703125","290.4044189453125","290.4044189453125","290.4044189453125"
"172","349.150634765625","349.150634765625","349.150634765625","294.7749938964844","294.7749938964844","294.7749938964844"
"173","345.5364685058594","345.5364685058594","345.5364685058594","276.78570556640625","276.78570556640625","276.78570556640625"
"174","340.8258972167969","340.8258972167969","340.8258972167969","293.33929443359375","293.33929443359375","293.33929443359375"
"175","333.346435546875","333.346435546875","333.346435546875","288.1640625","288.1640625","288.1640625"
"176","320.31817626953125","320.31817626953125","320.31817626953125","264.85345458984375","264.85345458984375","264.85345458984375"
"177","314.56817626953125","314.56817626953125","314.56817626953125","276.0821533203125","276.0821533203125","276.0821533203125"
"178","309.6041564941406","309.6041564941406","309.6041564941406","268.9166564941406","268.9166564941406","268.9166564941406"
"179","343.33172607421875","343.33172607421875","343.33172607421875","267.96875","267.96875","267.96875"
"180","323.19921875","323.19921875","323.19921875","281.06451416015625","281.06451416015625","281.06451416015625"
"181","338.9772644042969","338.9772644042969","338.9772644042969","280.7137145996094","280.7137145996094","280.7137145996094"
"182","338.9153137207031","338.9153137207031","338.9153137207031","283.1680908203125","283.1680908203125","283.1680908203125"
"183","337.3310852050781","337.3310852050781","337.3310852050781","274.94232177734375","274.94232177734375","274.94232177734375"
"184","344.004638671875","344.004638671875","344.004638671875","287.1927185058594","287.1927185058594","287.1927185058594"
"185","317.9595642089844","317.9595642089844","317.9595642089844","280.7533874511719","280.7533874511719","280.7533874511719"
"186","322.8828125","322.8828125","322.8828125","262.06817626953125","262.06817626953125","262.06817626953125"
"187","307.1293029785156","307.1293029785156","307.1293029785156","272.1614685058594","272.1614685058594","272.1614685058594"
"188","329.7083435058594","329.7083435058594","329.7083435058594","279.1785583496094","279.1785583496094","279.1785583496094"
"189","334.7368469238281","334.7368469238281","334.7368469238281","300.883056640625","300.883056640625","300.883056640625"
"190","336.28704833984375","336.28704833984375","336.28704833984375","284.6166687011719","284.6166687011719","284.6166687011719"
"191","332.6153869628906","332.6153869628906","332.6153869628906","282.9759521484375","282.9759521484375","282.9759521484375"
"192","326.26251220703125","326.26251220703125","326.26251220703125","272.5178527832031","272.5178527832031","272.5178527832031"
"193","350.49456787109375","350.49456787109375","350.49456787109375","269.491943359375","269.491943359375","269.491943359375"
"194","315.56817626953125","315.56817626953125","315.56817626953125","255.0037841796875","255.0037841796875","255.0037841796875"
"195","309.45001220703125","309.45001220703125","309.45001220703125","277.3458251953125","277.3458251953125","277.3458251953125"
"196","329.4212951660156","329.4212951660156","329.4212951660156","283.8697814941406","283.8697814941406","283.8697814941406"
"197","335.0833435058594","335.0833435058594","335.0833435058594","273.5208435058594","273.5208435058594","273.5208435058594"
"198","323.63970947265625","323.63970947265625","323.63970947265625","264.52734375","264.52734375","264.52734375"
"199","322.89373779296875","322.89373779296875","322.89373779296875","237.39706420898438","237.39706420898438","237.39706420898438"
"200","301.5887145996094","301.5887145996094","301.5887145996094","258.1654357910156","258.1654357910156","258.1654357910156"
"201","314.6435241699219","314.6435241699219","314.6435241699219","279.5758972167969","279.5758972167969","279.5758972167969"
"202","319.9791564941406","319.9791564941406","319.9791564941406","255.88888549804688","255.88888549804688","255.88888549804688"
"203","321.0223083496094","321.0223083496094","321.0223083496094","257.47222900390625","257.47222900390625","257.47222900390625"
"204","307.125","307.125","307.125","274.2960510253906","274.2960510253906","274.2960510253906"
"205","294.65789794921875","294.65789794921875","294.65789794921875","244.84375","244.84375","244.84375"
"206","276.0833435058594","276.0833435058594","276.0833435058594","239.8515625","239.8515625","239.8515625"
"207","335.4569091796875","335.4569091796875","335.4569091796875","283.89422607421875","283.89422607421875","283.89422607421875"
"208","315.8802185058594","315.8802185058594","315.8802185058594","281.27777099609375","281.27777099609375","281.27777099609375"
"209","345.4750061035156","345.4750061035156","345.4750061035156","264.50445556640625","264.50445556640625","264.50445556640625"
"210","309.375","309.375","309.375","242.92361450195312","242.92361450195312","242.92361450195312"
"211","305.37890625","305.37890625","305.37890625","261.944091796875","261.944091796875","261.944091796875"
"212","303.5706481933594","303.5706481933594","303.5706481933594","259.6953125","259.6953125","259.6953125"
